"ubigeo","actasContabilizadas","contabilizadas","totalActas","participacionCiudadana","actasEnviadasJee","enviadasJee","actasPendientesJee","pendientesJee","fechaActualizacion","idUbigeoDepartamento","idUbigeoProvincia","idUbigeoDistrito","idUbigeoDistritoElectoral","totalVotosEmitidos","totalVotosValidos","porcentajeVotosEmitidos","porcentajeVotosValidos"
"010101",100,76,76,74.324,0,0,0,0,1781051880116,10000,10100,10101,NA,16361,14933,100,100
"010102",100,2,2,60.465,0,0,0,0,1781051880116,10000,10100,10102,NA,182,172,100,100
"010103",100,5,5,60.596,0,0,0,0,1781051880116,10000,10100,10103,NA,732,683,100,100
"010104",100,3,3,69.837,0,0,0,0,1781051880116,10000,10100,10104,NA,470,423,100,100
"010105",100,4,4,50,0,0,0,0,1781051880116,10000,10100,10105,NA,506,465,100,100
"010106",100,7,7,39.886,0,0,0,0,1781051880116,10000,10100,10106,NA,702,646,100,100
"010107",100,2,2,66.135,0,0,0,0,1781051880116,10000,10100,10107,NA,373,356,100,100
"010108",100,3,3,77.764,0,0,0,0,1781051880116,10000,10100,10108,NA,647,596,100,100
"010109",100,17,17,70.67,0,0,0,0,1781051880116,10000,10100,10109,NA,3060,2859,100,100
"010110",100,10,10,62.318,0,0,0,0,1781051880116,10000,10100,10110,NA,1801,1660,100,100
"010111",100,4,4,80.368,0,0,0,0,1781051880116,10000,10100,10111,NA,831,791,100,100
"010112",100,3,3,74.557,0,0,0,0,1781051880116,10000,10100,10112,NA,589,549,100,100
"010113",100,4,4,64.341,0,0,0,0,1781051880116,10000,10100,10113,NA,581,543,100,100
"010114",100,8,8,70.297,0,0,0,0,1781051880116,10000,10100,10114,NA,1536,1430,100,100
"010115",100,3,3,70.84,0,0,0,0,1781051880116,10000,10100,10115,NA,464,434,100,100
"010116",100,2,2,66.21,0,0,0,0,1781051880116,10000,10100,10116,NA,290,275,100,100
"010117",75,3,4,39.558,25,1,0,0,1781051880116,10000,10100,10117,NA,394,370,100,100
"010118",100,2,2,73.116,0,0,0,0,1781051880116,10000,10100,10118,NA,291,272,100,100
"010119",100,3,3,77.467,0,0,0,0,1781051880116,10000,10100,10119,NA,526,503,100,100
"010120",100,6,6,69.113,0,0,0,0,1781051880116,10000,10100,10120,NA,1036,944,100,100
"010121",100,2,2,65.057,0,0,0,0,1781051880116,10000,10100,10121,NA,283,267,100,100
"010201",100,25,25,64.244,0,0,0,0,1781051880116,10000,10200,10201,NA,4296,4020,100,100
"010202",100,34,34,59.672,0,0,0,0,1781051880116,10000,10200,10202,NA,5599,5247,100,100
"010203",93.75,15,16,68.415,6.25,1,0,0,1781051880116,10000,10200,10203,NA,3052,2841,100,100
"010204",100,6,6,75.815,0,0,0,0,1781051880116,10000,10200,10204,NA,1163,1091,100,100
"010205",100,72,72,71.673,0,0,0,0,1781051880116,10000,10200,10205,NA,15176,14063,100,100
"010206",100,97,97,40.6,0,0,0,0,1781051880116,10000,10200,10206,NA,10804,10413,100,100
"010301",100,3,3,59.375,0,0,0,0,1781051880116,10000,10300,10301,NA,513,459,100,100
